uniquedesignation,track_id,X,Y,Z,timefromstart,distanceonline,owningunit,sidc,status911,speed,staffcomment
Saber 1 C,{b676abb1-3810-4c53-8b62-5845dd150f24},-121.902,36.5811,100.42,2.03515,3100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Survellance Troop
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.879,36.5894,9.18849,3.882266667,4400,2-3-A-1,SFGPEVAL-------,1,100,
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.799,36.5696,79.2687,4.84495,6900,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.725,36.5993,191.048,2.457583333,3500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.875,36.5873,16.123,3.529333333,4000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.807,36.5713,63.8537,6.793966667,7700,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.791,36.5699,100.051,5.75463,6200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3B1-029,{c2d72efb-9215-4567-8f9f-3f8c55592aeb},-121.962,36.586,24.5339,1.307583333,1700,2-3-B-1,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.721,36.6008,160.545,2.56035,3900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.894,36.5828,61.5252,3.9,3900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Wolfpack 1 C,{62455fff-24fb-4b47-8032-4694cd552336},-121.874,36.5848,21.8371,3.264633333,3700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Lead security opeartion
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.8,36.5698,76.8431,4.915166667,7000,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.924,36.6024,129.471,4.640833333,5000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.921,36.6031,126.328,4.362383333,4700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.922,36.6071,110.158,2.9491,4200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.756,36.5888,241.38,3.428533333,5200,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.76,36.5864,259.053,3.098866667,4700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.765,36.5867,257.941,2.7692,4200,2-3-C-2,SFGPEVAL-------,0,100,
Saber 1 D,{7f43bd47-4dcd-4c29-9694-658b4e5e27b8},-121.905,36.5795,116.587,2.8,2800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Anti-Armor Troop
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.808,36.5715,62.4998,6.8822,7800,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.792,36.5696,96.0512,5.84745,6300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.879,36.5901,7.68884,3.9705,4500,2-3-A-1,SFGPEVAL-------,1,100,
3A1-003,{b54c731f-57f3-4a92-a3b9-e87c4cec6e44},-121.726,36.6001,204.664,2.16645,3300,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 3 A,{0a4114b8-bcd5-462e-abd2-c71274d83d6b},-121.919,36.6271,9.70625,1.50995,2300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Saber 1 C,{b676abb1-3810-4c53-8b62-5845dd150f24},-121.901,36.5815,94.2152,2.1008,3200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Survellance Troop
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.901,36.5815,94.2152,3.2,3200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.801,36.577,73.9012,4.985383333,7100,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.876,36.5878,14.2561,3.617566667,4100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.724,36.5991,185.849,2.5278,3600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
Wolfpack 3 B,{2522bec0-02e9-4d78-97b9-26027df6a849},-121.917,36.6264,8.55989,1.37865,2100,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV - patrolling area south of dam
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.809,36.5718,60.9443,6.970433333,7900,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.793,36.5694,92.4144,5.940266667,6400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Wolfpack 1 C,{62455fff-24fb-4b47-8032-4694cd552336},-121.874,36.5857,19.9363,3.352866667,3800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Lead security opeartion
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.925,36.602,130.907,4.73365,5100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.922,36.6028,126.51,4.4552,4800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.922,36.6063,118.329,3.019316667,4300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.755,36.5893,234.668,3.494466667,5300,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.759,36.5868,259.335,3.1648,4800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.764,36.5864,258.393,2.835133333,4300,2-3-C-2,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.72,36.6014,150.881,2.626,4000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.893,36.5829,60.4522,4,4000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.802,36.5702,71.6982,5.0556,7200,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 D,{7f43bd47-4dcd-4c29-9694-658b4e5e27b8},-121.904,36.581,112.436,2.9,2900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Anti-Armor Troop
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.88,36.591,7.20987,4.058733333,4600,2-3-A-1,SFGPEVAL-------,1,100,
Wolfpack 2 A,{ec413363-2a26-4e9e-bd8f-07de18b24d32},-121.961,36.5856,28.5637,1.230666667,1600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.81,36.572,58.6772,7.058666667,8000,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.794,36.5692,89.5055,6.033083333,6500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3A1-003,{b54c731f-57f3-4a92-a3b9-e87c4cec6e44},-121.725,36.5998,197.339,2.2321,3400,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 C,{b676abb1-3810-4c53-8b62-5845dd150f24},-121.9,36.5818,87.8879,2.16645,3300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Survellance Troop
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.877,36.5883,12.48,3.7058,4200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.803,36.5705,70.3729,6.775616667,7300,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.926,36.6015,130.347,4.826466667,5200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.923,36.6027,127.967,4.548016667,4900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.921,36.6055,126.12,3.089533333,4400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.754,36.5892,233.008,3.5604,5400,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.758,36.5874,257.385,3.230733333,4900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.763,36.586,255.866,2.901066667,4400,2-3-C-2,SFGPEVAL-------,0,100,
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.723,36.5995,178.984,2.598016667,3700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.9,36.5818,87.8879,3.3,3300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
Wolfpack 1 C,{62455fff-24fb-4b47-8032-4694cd552336},-121.875,36.5865,17.986,3.4411,3900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Lead security opeartion
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.812,36.5723,56.3759,7.1469,8100,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.795,36.5691,86.5341,6.1259,6600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.719,36.6018,142.447,2.69165,4100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.892,36.5831,59.0547,4.1,4100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.804,36.5707,69.2818,6.868433333,7400,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.88,36.5912,13.7281,4.146966667,4700,2-3-A-1,SFGPEVAL-------,1,100,
Wolfpack 3 A,{0a4114b8-bcd5-462e-abd2-c71274d83d6b},-121.92,36.6275,10.0814,1.5756,2400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Saber 1 D,{7f43bd47-4dcd-4c29-9694-658b4e5e27b8},-121.903,36.5806,107.066,3,3000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Anti-Armor Troop
3B1-029,{c2d72efb-9215-4567-8f9f-3f8c55592aeb},-121.962,36.5867,18.7908,1.3845,1800,2-3-B-1,SFGPEVAL-------,0,100,
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.813,36.5725,54.8908,7.235133333,8200,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.796,36.5692,84.1147,6.218716667,6700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.878,36.5888,10.8788,3.794033333,4300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.927,36.601,127.149,4.919283333,5300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.924,36.6024,129.471,4.640833333,5000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.92,36.6048,130.901,3.15975,4500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.753,36.5889,243.113,3.626333333,5500,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.758,36.5881,254.493,3.296666667,5000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.762,36.5857,252.659,2.967,4500,2-3-C-2,SFGPEVAL-------,0,100,
3A1-003,{b54c731f-57f3-4a92-a3b9-e87c4cec6e44},-121.725,36.5993,191.048,2.29775,3500,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 3 B,{2522bec0-02e9-4d78-97b9-26027df6a849},-121.918,36.6267,10.4259,1.4443,2200,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV - patrolling area south of dam
Saber 1 C,{b676abb1-3810-4c53-8b62-5845dd150f24},-121.899,36.5819,80.6128,2.2321,3400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Survellance Troop
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.805,36.5709,67.5381,6.96125,7500,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Wolfpack 1 C,{62455fff-24fb-4b47-8032-4694cd552336},-121.875,36.5873,16.123,3.529333333,4000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Lead security opeartion
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.722,36.6001,170.665,2.668233333,3800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.899,36.5819,80.6128,3.4,3400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.814,36.5727,53.5193,7.323366667,8300,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.798,36.5694,81.6857,6.311533333,6800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.718,36.6013,136.446,2.7573,4200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.89,36.5832,57.9191,4.2,4200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.881,36.5905,14.2301,4.2352,4800,2-3-A-1,SFGPEVAL-------,1,100,
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.806,36.5711,65.2863,7.054066667,7600,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.927,36.6002,126.768,5.0121,5400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.925,36.602,130.907,4.73365,5100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.92,36.6039,130.275,3.229966667,4600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.752,36.5883,252.237,3.692266667,5600,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.757,36.5888,250.542,3.3626,5100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.761,36.5857,253.761,3.032933333,4600,2-3-C-2,SFGPEVAL-------,0,100,
Saber 1 D,{7f43bd47-4dcd-4c29-9694-658b4e5e27b8},-121.902,36.5811,100.42,3.1,3100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Anti-Armor Troop
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.879,36.5894,9.18849,3.882266667,4400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.815,36.5727,52.1785,7.4116,8400,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.799,36.5696,79.2687,6.40435,6900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3A1-003,{b54c731f-57f3-4a92-a3b9-e87c4cec6e44},-121.724,36.5991,185.849,2.3634,3600,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 C,{b676abb1-3810-4c53-8b62-5845dd150f24},-121.898,36.5821,76.0326,2.29775,3500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Survellance Troop
Wolfpack 1 C,{62455fff-24fb-4b47-8032-4694cd552336},-121.876,36.5878,14.2561,3.617566667,4100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Lead security opeartion
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.807,36.5713,63.8537,7.146883333,7700,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Wolfpack 2 A,{ec413363-2a26-4e9e-bd8f-07de18b24d32},-121.962,36.586,24.5339,1.307583333,1700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.721,36.6008,160.545,2.73845,3900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.816,36.5728,50.7045,7.499833333,8500,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.8,36.5698,76.8431,6.497166667,7000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.882,36.5897,15.9318,4.323433333,4900,2-3-A-1,SFGPEVAL-------,1,100,
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.927,36.5994,127.837,5.104916667,5500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.926,36.6015,130.347,4.826466667,5200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.921,36.6031,126.328,3.300183333,4700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.751,36.5879,253.671,3.7582,5700,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.756,36.5888,241.38,3.428533333,5200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.76,36.5864,259.053,3.098866667,4700,2-3-C-2,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.718,36.6008,132.962,2.82295,4300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
Wolfpack 3 A,{0a4114b8-bcd5-462e-abd2-c71274d83d6b},-121.921,36.628,9.81711,1.64125,2500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.889,36.5834,56.5467,4.3,4300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.898,36.5821,76.0326,3.5,3500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.808,36.5715,62.4998,7.2397,7800,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.879,36.5901,7.68884,3.9705,4500,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Wolfpack 3 B,{2522bec0-02e9-4d78-97b9-26027df6a849},-121.919,36.6271,9.70625,1.50995,2300,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV - patrolling area south of dam
Saber 1 D,{7f43bd47-4dcd-4c29-9694-658b4e5e27b8},-121.901,36.5815,94.2152,3.2,3200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Anti-Armor Troop
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.817,36.5729,49.2256,7.588066667,8600,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.801,36.577,73.9012,6.589983333,7100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Wolfpack 1 C,{62455fff-24fb-4b47-8032-4694cd552336},-121.877,36.5883,12.48,3.7058,4200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Lead security opeartion
3A1-003,{b54c731f-57f3-4a92-a3b9-e87c4cec6e44},-121.723,36.5995,178.984,2.42905,3700,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 C,{b676abb1-3810-4c53-8b62-5845dd150f24},-121.897,36.5823,69.8532,2.3634,3600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Survellance Troop
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.809,36.5718,60.9443,7.332516667,7900,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.926,36.5988,128.553,5.197733333,5600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.927,36.601,127.149,4.919283333,5300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.922,36.6028,126.51,3.3704,4800,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.75,36.5872,252.375,3.824133333,5800,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 C,{08847249-3de5-481c-a22a-6e8831b31297},-121.755,36.5893,234.668,3.494466667,5300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Conducting vehicle searches
3C2-007,{40692e45-c354-4cab-9f44-9cdf429ff707},-121.759,36.5868,259.335,3.1648,4800,2-3-C-2,SFGPEVAL-------,0,100,
3B1-029,{c2d72efb-9215-4567-8f9f-3f8c55592aeb},-121.963,36.5868,11.9623,1.461416667,1900,2-3-B-1,SFGPEVAL-------,0,100,
Wolfpack 3 D,{2606c7b3-76c5-438b-a6ef-fc40f151cb64},-121.72,36.6014,150.881,2.808666667,4000,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.882,36.5888,18.0068,4.411666667,5000,2-3-A-1,SFGPEVAL-------,1,100,
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.818,36.5731,47.7674,7.6763,8700,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.802,36.5702,71.6982,6.6828,7200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.717,36.6011,124.496,2.8886,4400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.888,36.5836,54.2994,4.4,4400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Jalabad
Saber 1 B,{a8244a1f-0397-4453-9fa9-65d39796e469},-121.88,36.591,7.20987,4.058733333,4600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Wolfpack 2 D,{ede21686-b514-482e-9fb9-e25332cb5b79},-121.897,36.5823,69.8532,3.6,3600,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area secuirty
Wolfpack 2 B,{cef8a0c9-7c3e-4115-b8a5-1b07b491e181},-121.81,36.572,58.6772,7.425333333,8000,2nd Stryker Brigade,SFGPEVAL-------,0,100,ICV
Saber 1 D,{7f43bd47-4dcd-4c29-9694-658b4e5e27b8},-121.9,36.5818,87.8879,3.3,3300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Anti-Armor Troop
Wolfpack 1 C,{62455fff-24fb-4b47-8032-4694cd552336},-121.878,36.5888,10.8788,3.794033333,4300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Lead security opeartion
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.819,36.5734,46.376,7.764533333,8800,2-3-A-1,SFGPEVAL-------,0,100,
Wolfpack 1 B,{228b9127-33b5-4d38-a21b-e71d357ae956},-121.803,36.5705,70.3729,6.775616667,7300,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.925,36.5983,130.994,5.29055,5700,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
Cougars 1 B,{9305c72f-a88a-4094-be6a-7f8ee4b2e982},-121.927,36.6002,126.768,5.0121,5400,2nd Stryker Brigade,SFGPEVAL-------,0,100,Establish checkpoint along road
War Eagles 1 B,{2111c671-19ce-4ad4-a80d-d362d6baa66d},-121.923,36.6027,127.967,3.440616667,4900,2nd Stryker Brigade,SFGPEVAL-------,0,100,Locating suspect incidents
